Tenure,WarehouseToHome,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn,IsNewCustomer,LowSatisfaction,HighCashback,RecentlyActive,MaritalStatus_Married,MaritalStatus_Single,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile,PreferedOrderCat_Others
15,29,4,3,2,0,7,143.32,0,0,0,0,0,False,True,False,True,False,False
7,25,4,1,2,0,7,129.29,0,0,1,0,0,True,False,False,False,True,False
27,13,3,1,5,0,7,168.54,0,0,1,1,0,True,False,False,True,False,False
30,15,4,4,8,0,8,322.17,0,0,0,1,0,False,True,False,False,False,True
7,16,4,2,2,0,11,152.81,0,0,1,0,0,False,False,False,False,True,False
1,15,6,5,3,0,2,149.51,0,1,0,0,1,False,False,False,False,True,False
1,11,4,5,3,0,1,154.73,1,1,0,0,1,False,True,False,False,True,False
11,12,4,3,2,0,4,137.02,0,0,0,0,0,True,False,False,False,True,False
17,7,3,1,5,1,2,157.43,0,0,1,0,1,True,False,False,True,False,False
16,20,2,5,7,0,1,180.38,0,0,0,1,1,True,False,False,True,False,False
1,7,4,3,5,0,3,154.09,1,1,0,0,1,False,False,False,False,True,False
6,14,3,5,3,0,2,163.92,0,0,0,0,1,True,False,False,True,False,False
10,8,4,3,8,0,1,193.15,0,0,0,1,1,False,True,False,True,False,False
8,22,4,2,3,0,6,204.78,1,0,1,1,0,False,False,False,False,False,False
19,27,4,1,2,1,11,259.96,0,0,1,1,0,True,False,True,False,False,False
0,18,1,4,2,0,0,127.16,1,1,0,0,1,False,True,False,False,True,False
1,33,5,5,7,0,2,191.96,1,1,0,1,1,False,True,False,True,False,False
3,22,3,3,9,0,2,153.01,0,1,0,0,1,True,False,False,True,False,False
30,9,1,5,5,1,0,126.7,0,0,0,0,1,True,False,False,False,True,False
5,14,3,1,2,0,7,189.98,0,1,1,1,0,False,True,False,False,False,False
9,12,4,4,2,0,14,205.95,0,0,0,1,0,False,True,False,False,False,False
18,26,3,3,9,0,1,148.5,0,0,0,0,1,False,True,False,True,False,False
16,17,3,3,2,0,9,175.1,0,0,0,1,0,True,False,False,False,False,False
7,6,4,5,10,0,6,204.82,1,0,0,1,0,True,False,False,False,False,False
12,6,1,1,1,0,7,196.13,0,0,1,1,0,True,False,False,False,False,False
30,11,4,4,3,1,4,205.52,0,0,0,1,0,True,False,False,False,False,False
11,17,2,1,3,1,9,262.44,0,0,1,1,0,True,False,False,False,False,False
24,31,4,3,5,1,6,264.73,0,0,0,1,0,True,False,True,False,False,False
0,9,3,5,2,1,3,141.94,0,1,0,0,1,False,False,False,True,False,False
1,7,4,1,11,1,3,172.87,1,1,1,1,1,True,False,False,False,True,False
4,18,3,1,9,1,2,139.29,0,1,1,0,1,True,False,False,False,True,False
18,7,4,3,4,0,4,207.48,0,0,0,1,0,True,False,False,False,False,False
15,7,2,5,3,0,8,208.92,0,0,0,1,0,True,False,False,False,False,False
17,21,4,5,8,0,1,296.59,0,0,0,1,1,True,False,True,False,False,False
4,15,4,3,7,0,8,197.64,0,1,0,1,0,True,False,False,False,False,False
5,9,4,1,2,1,3,151.95,0,1,1,0,1,True,False,False,False,True,False
11,17,2,1,5,0,1,171.8,0,0,1,1,1,False,True,False,False,True,False
24,6,4,5,4,0,8,174.84,0,0,0,1,0,False,True,False,False,False,False
0,6,3,3,2,0,7,152.96,0,1,0,0,0,False,False,False,True,False,False
3,6,3,1,2,0,7,140.11,0,1,1,0,0,False,True,False,True,False,False
61,28,4,1,6,1,1,303.75,0,0,1,1,1,True,False,True,False,False,False
25,10,3,2,3,0,4,265.55,0,0,1,1,0,False,False,True,False,False,False
9,22,4,5,5,0,2,156.47,0,0,0,0,1,True,False,False,True,False,False
8,8,4,1,11,0,2,179.84,0,0,1,1,1,True,False,False,True,False,False
8,33,5,3,3,0,1,145.29,0,0,0,0,1,True,False,False,False,True,False
17,19,5,4,3,0,10,268.36,0,0,0,1,0,True,False,True,False,False,False
8,26,5,1,3,0,8,154.29,0,0,1,0,0,True,False,False,False,True,False
0,8,3,3,2,1,4,144.78,0,1,0,0,0,False,True,False,True,False,False
4,32,3,3,2,0,3,129.11,0,1,0,0,1,True,False,False,False,True,False
1,10,4,5,7,0,3,165.31,1,1,0,1,1,True,False,False,False,True,False
1,16,4,1,3,0,1,135.81,1,1,1,0,1,False,True,False,False,True,False
1,31,6,1,3,1,1,148.4,1,1,1,0,1,False,True,False,False,True,False
0,16,3,2,1,0,1,149.5,0,1,1,0,1,False,True,False,True,False,False
1,16,3,3,4,0,7,136.6,0,1,0,0,0,False,True,False,True,False,False
13,21,4,3,2,0,12,204.35,0,0,0,1,0,True,False,False,False,False,False
5,12,4,3,3,0,3,208.46,0,1,0,1,1,True,False,False,True,False,False
14,14,3,4,6,0,4,143.93,0,0,0,0,0,True,False,False,True,False,False
5,15,5,1,1,0,7,146.68,0,1,1,0,0,True,False,False,True,False,False
9,11,4,3,3,1,2,167.49,0,0,0,1,1,False,True,False,True,False,False
1,31,4,2,2,0,2,149.0,0,1,1,0,1,False,False,False,False,True,False
0,6,3,4,1,1,4,163.49,0,1,0,0,0,False,False,False,True,False,False
7,8,3,5,1,1,2,145.38,0,0,0,0,1,False,True,False,True,False,False
6,12,4,4,3,0,4,190.24,0,0,0,1,0,True,False,False,True,False,False
1,10,4,1,3,1,1,140.69,1,1,1,0,1,False,True,False,False,True,False
9,18,4,2,1,0,8,188.58,0,0,1,1,0,False,True,False,False,False,False
11,22,3,4,3,0,2,141.98,0,0,0,0,1,False,True,False,True,False,False
4,10,4,1,6,0,5,145.97,0,1,1,0,0,True,False,False,False,True,False
25,10,4,4,5,0,1,262.34,0,0,0,1,1,False,True,True,False,False,False
2,19,4,4,5,1,3,140.25,0,1,0,0,1,True,False,False,True,False,False
18,10,5,3,5,0,3,197.56,0,0,0,1,1,True,False,False,False,False,False
19,32,4,4,9,0,2,179.91,0,0,0,1,1,False,True,False,True,False,False
8,23,3,5,4,1,7,189.66,0,0,0,1,0,True,False,False,True,False,False
0,30,1,5,2,0,0,110.91,1,1,0,0,1,False,True,False,False,True,False
8,32,3,1,2,1,7,188.37,0,0,1,1,0,False,True,False,False,False,False
4,15,2,5,2,1,8,239.16000000000005,0,1,0,1,0,True,False,False,False,False,False
0,35,4,3,2,0,8,145.08,1,1,0,0,0,False,True,False,True,False,False
2,23,4,5,2,0,9,179.88,0,1,0,1,0,False,True,False,False,False,False
4,8,5,1,5,1,0,127.78,1,1,1,0,1,True,False,False,False,True,False
19,21,3,4,6,0,3,290.81,0,0,0,1,1,True,False,False,False,False,True
14,7,6,1,4,1,3,199.57,0,0,1,1,1,True,False,False,True,False,False
15,9,4,5,9,0,9,290.95,0,0,0,1,0,False,False,True,False,False,False
5,11,3,4,2,0,3,165.24,0,1,0,1,1,True,False,False,True,False,False
1,14,2,5,2,0,8,160.78,0,1,0,0,0,False,True,False,False,True,False
21,11,4,3,5,0,1,154.76,0,0,0,0,1,False,True,False,True,False,False
1,7,5,3,8,1,3,153.0,1,1,0,0,1,True,False,False,False,True,False
24,12,4,3,1,0,7,128.38,0,0,0,0,0,False,True,False,False,True,False
14,16,3,1,8,0,10,162.3,0,0,1,0,0,False,True,False,True,False,False
0,10,3,3,2,1,3,141.62,0,1,0,0,1,False,False,False,True,False,False
21,10,4,3,11,1,14,262.7,0,0,0,1,0,True,False,True,False,False,False
29,9,5,1,10,0,5,151.62,0,0,1,0,0,True,False,False,False,True,False
7,14,3,5,4,0,0,151.21,0,0,0,0,1,True,False,False,True,False,False
14,15,4,5,4,1,1,190.16,0,0,0,1,1,True,False,False,True,False,False
5,9,6,1,6,1,1,152.78,1,1,1,0,1,True,False,False,False,True,False
5,14,5,3,5,0,3,148.29,0,1,0,0,1,True,False,False,False,True,False
2,15,5,2,3,0,5,174.36,0,1,1,1,0,True,False,False,False,True,False
3,7,6,2,3,0,9,152.2,0,1,1,0,0,True,False,False,False,True,False
0,12,3,1,2,1,2,56.0,0,1,1,0,1,True,False,False,False,True,False
11,20,3,4,1,0,7,199.24,0,0,0,1,0,True,False,False,True,False,False
6,6,1,3,5,0,5,261.84,0,0,0,1,0,True,False,True,False,False,False
2,15,5,1,3,0,5,174.36,0,1,1,1,0,True,False,False,False,True,False
1,9,4,4,6,0,3,146.87,0,1,0,0,1,True,False,False,False,True,False
14,15,3,3,4,1,7,181.89,0,0,0,1,0,True,False,False,False,False,False
3,11,4,2,10,0,3,137.61,0,1,1,0,1,True,False,False,False,True,False
26,9,5,2,9,0,3,157.12,0,0,1,0,1,False,True,False,False,True,False
1,20,5,5,7,1,3,186.34,1,1,0,1,1,True,False,False,True,False,False
5,16,3,1,9,0,0,146.48,0,1,1,0,1,False,True,False,True,False,False
13,14,3,5,3,1,0,165.16,0,0,0,1,1,True,False,False,True,False,False
4,8,3,2,5,1,5,165.82,0,1,1,1,0,False,True,False,True,False,False
1,32,5,4,6,1,3,148.13,1,1,0,0,1,False,True,False,False,True,False
30,11,4,5,6,0,3,324.43,0,0,0,1,1,True,False,False,False,False,True
0,26,5,3,4,1,2,145.59,1,1,0,0,1,False,False,False,True,False,False
26,15,4,5,11,0,5,154.5,0,0,0,0,0,False,False,False,False,True,False
5,25,1,3,7,1,2,127.59,1,1,0,0,1,True,False,False,False,True,False
19,6,3,5,2,0,7,204.53,0,0,0,1,0,True,False,False,False,False,False
1,20,5,5,6,1,1,148.35,1,1,0,0,1,True,False,False,False,True,False
9,13,3,2,3,0,1,146.78,0,0,1,0,1,False,True,False,False,True,False
1,10,4,3,3,0,8,165.84,1,1,0,1,0,False,True,False,False,True,False
8,11,4,3,11,0,3,190.38,0,0,0,1,1,False,False,False,True,False,False
2,16,4,3,7,0,3,148.77,0,1,0,0,1,True,False,False,False,True,False
4,14,4,3,3,0,10,159.91,0,1,0,0,0,True,False,False,True,False,False
16,30,4,2,4,0,1,284.92,0,0,1,1,1,False,True,True,False,False,False
1,12,4,4,3,1,3,149.78,0,1,0,0,1,False,True,False,False,True,False
9,23,4,3,6,1,1,201.32,0,0,0,1,1,True,False,False,False,False,False
2,26,3,1,2,0,10,138.12,0,1,1,0,0,True,False,False,False,True,False
10,14,3,4,3,0,7,140.71,0,0,0,0,0,True,False,False,True,False,False
1,14,5,3,4,0,1,186.32,0,1,0,1,1,False,False,False,True,False,False
21,9,2,4,8,0,3,284.72,0,0,0,1,1,True,False,True,False,False,False
11,16,3,3,4,0,2,160.77,0,0,0,0,1,True,False,False,True,False,False
31,10,5,1,7,0,6,176.71,0,0,1,1,0,False,True,False,True,False,False
4,11,3,5,1,0,7,199.36,0,1,0,1,0,False,True,False,True,False,False
17,34,3,5,4,0,17,263.28,0,0,0,1,0,False,False,True,False,False,False
7,10,3,3,10,0,2,165.38,0,0,0,1,1,True,False,False,True,False,False
20,8,3,4,8,1,8,292.46,1,0,0,1,0,False,True,False,False,False,True
8,29,5,1,3,1,12,182.47,0,0,1,1,0,True,False,False,True,False,False
1,16,6,4,3,0,3,152.6,1,1,0,0,1,False,True,False,False,True,False
27,13,4,3,4,1,6,148.06,0,0,0,0,0,False,False,False,True,False,False
16,7,5,2,11,1,3,185.62,0,0,1,1,1,False,False,False,True,False,False
16,9,4,1,3,0,3,165.89,0,0,1,1,1,True,False,False,True,False,False
10,33,4,3,8,0,3,178.47,0,0,0,1,1,True,False,False,True,False,False
10,30,2,1,6,0,4,150.71,0,0,1,0,0,True,False,False,True,False,False
3,11,3,5,6,0,30,132.04,0,1,0,0,0,True,False,False,False,True,False
0,24,1,3,3,0,2,162.32,0,1,0,0,1,False,False,False,True,False,False
12,16,3,5,3,0,7,153.77,0,0,0,0,0,True,False,False,True,False,False
6,17,4,1,10,0,1,171.48,0,0,1,1,1,False,True,False,True,False,False
11,18,4,5,3,0,2,162.88,0,0,0,0,1,True,False,False,True,False,False
6,7,5,4,2,0,3,147.69,0,0,0,0,1,True,False,False,False,True,False
4,6,3,5,2,0,3,141.48,0,1,0,0,1,True,False,False,True,False,False
17,9,4,1,2,0,9,160.39,0,0,1,0,0,False,True,False,False,True,False
7,21,3,2,2,0,5,179.78,1,0,1,1,0,False,False,False,False,False,False
8,15,4,5,7,0,3,190.0,0,0,0,1,1,True,False,False,True,False,False
15,9,5,3,4,1,8,193.11,0,0,0,1,0,False,True,False,True,False,False
31,9,5,2,5,1,4,262.26,0,0,1,1,0,False,True,True,False,False,False
16,14,3,4,5,0,0,147.65,0,0,0,0,1,True,False,False,True,False,False
